lat,long,name,DISTANCE,LIKELIHOOD
59.06228084999999,9.685441655989411,Norcem,11,0.02108427027498554
59.063102400000005,9.694422599236493,Norcem,11,0.02108427027498554
59.0548333,9.6866578,Brevik,11,0.23192697302484094
59.2029967,9.567439,Vadrette,12,0.01932724775207008
59.0976598,9.591405175761096,Rafnes industripark,15,0.015461798201656062
59.2094547,9.5255802,Skotfoss bruk,15,0.015461798201656062
59.08336825000001,9.619337356482685,INEOS Bamble,17,0.01364276311910829
59.266728799999996,9.702933109466468,Holtesletta Industrifelt,22,0.01054213513749277
59.2934941,9.5647316,Sverigeholmen,22,0.01054213513749277
59.039038500000004,10.044543642809899,Larvik,30,0.23192697302484094
59.12932935,10.151001174827389,Skolmar,38,0.006103341395390551
59.28654065,9.906935745531223,Berganmoen Industri,39,0.005946845462175408
59.13984245,10.181172279635412,Pindsle,40,0.005798174325621024
59.1077765,10.162895177266622,Lede rigg og lagerplass,40,0.005798174325621024
59.1110477,10.223906720699514,Jotun,46,0.005041890717931325
59.10765945,10.236498950784359,Vera fabrikker,48,0.00483181193801752
59.106968050000006,10.242739149123157,JOTUN A/S,49,0.0047332035311192025
59.399575150000004,9.975063334000364,Sogn Industrifelt,49,0.0047332035311192025
59.23141425,10.138151901872469,Hasås AS,52,0.004460134096631557
59.24613295,10.255158106714575,Borgeskogen,53,0.0043759806231102065
59.2686774,10.161078765124191,Andebu næringspark,56,0.004141553089729302
59.281617049999994,10.08779412745194,Andebu mekanikk,58,0.003998740914221395
59.2955869,10.220873228368234,Borgen aktiemølle,62,0.0037407576294329185
59.512924299999995,10.088606585906643,Haslestad bruk,65,0.0035681072773052457
59.3462856,10.319870104373196,Linnestad industriområde,66,0.0035140450458309236
59.2587493,10.413132859361161,Findus,66,0.0035140450458309236
59.35660300000001,10.139899061774589,Modul AS,71,0.0032665770848569146
59.358142900000004,10.139975246501624,Solberg Auto,71,0.0032665770848569146
59.3177881,10.51536452297756,ExxonMobil Slagen,72,0.003221207958678346
59.44077595,10.42974110471111,Falkensten Næringspark,80,0.002899087162810512
59.03857885,8.651423579635624,Skogbuåna Kraftstasjon,82,0.0028283777198151337
59.62553655,9.68291267577861,Skrubbmoen,87,0.002665827276147597
59.4353361,10.6479056,Moss verft,89,0.002605921045222932
59.4382815,10.662382101718745,Lantmannen Cerelia AS avd Moss,89,0.002605921045222932
59.00787485,8.551726527854877,Nisserdam kraftverk,89,0.002605921045222932
59.4389333,10.6694889,Cellulosefabrikker,90,0.002576966366942677
59.42627225,10.66122618141187,Rockwool AS,90,0.002576966366942677
59.628912400000004,9.638575270000812,Arsenalet,90,0.002576966366942677
59.645536899999996,9.651288585653624,Gomsrud,90,0.002576966366942677
59.419313450000004,10.673942910764335,Skanem,91,0.0025486480552180325
